0.0	0.0	1.0
10.1	0.0	1.0
20.2	0.0	1.0
30.3	0.0	1.0
40.4	0.0	1.0
50.5	0.0	1.0
60.6	0.0	1.0
70.7	0.0	1.0
80.8	0.0	1.0
90.9	0.0	1.0
101.0	0.0	1.0
111.1	0.0	1.0
121.2	0.0	1.0
131.3	0.0	1.0
141.4	0.0	1.0
151.5	0.0	1.0
161.6	0.0	1.0
171.7	0.0	1.0
181.8	0.0	1.0
191.9	0.0	1.0
0.0	10.1	1.0
10.1	10.1	1.0
20.2	10.1	11.0
30.3	10.1	11.0
40.4	10.1	11.0
50.5	10.1	11.0
60.6	10.1	11.0
70.7	10.1	11.0
80.8	10.1	11.0
90.9	10.1	11.0
101.0	10.1	11.0
111.1	10.1	11.0
121.2	10.1	11.0
131.3	10.1	11.0
141.4	10.1	11.0
151.5	10.1	11.0
161.6	10.1	11.0
171.7	10.1	11.0
181.8	10.1	1.0
191.9	10.1	1.0
0.0	20.2	1.0
10.1	20.2	1.0
20.2	20.2	11.0
30.3	20.2	1.0
40.4	20.2	1.0
50.5	20.2	1.0
60.6	20.2	1.0
70.7	20.2	1.0
80.8	20.2	1.0
90.9	20.2	1.0
101.0	20.2	23.0
111.1	20.2	1.0
121.2	20.2	1.0
131.3	20.2	1.0
141.4	20.2	1.0
151.5	20.2	1.0
161.6	20.2	1.0
171.7	20.2	11.0
181.8	20.2	1.0
191.9	20.2	1.0
0.0	30.3	1.0
10.1	30.3	1.0
20.2	30.3	11.0
30.3	30.3	1.0
40.4	30.3	1.0
50.5	30.3	22.0
60.6	30.3	1.0
70.7	30.3	1.0
80.8	30.3	1.0
90.9	30.3	1.0
101.0	30.3	1.0
111.1	30.3	1.0
121.2	30.3	1.0
131.3	30.3	1.0
141.4	30.3	22.0
151.5	30.3	1.0
161.6	30.3	1.0
171.7	30.3	11.0
181.8	30.3	1.0
191.9	30.3	1.0
0.0	40.4	1.0
10.1	40.4	1.0
20.2	40.4	11.0
30.3	40.4	1.0
40.4	40.4	22.0
50.5	40.4	1.0
60.6	40.4	1.0
70.7	40.4	1.0
80.8	40.4	1.0
90.9	40.4	1.0
101.0	40.4	1.0
111.1	40.4	1.0
121.2	40.4	1.0
131.3	40.4	1.0
141.4	40.4	1.0
151.5	40.4	22.0
161.6	40.4	1.0
171.7	40.4	11.0
181.8	40.4	1.0
191.9	40.4	1.0
0.0	50.5	1.0
10.1	50.5	1.0
20.2	50.5	11.0
30.3	50.5	1.0
40.4	50.5	1.0
50.5	50.5	1.0
60.6	50.5	1.0
70.7	50.5	1.0
80.8	50.5	1.0
90.9	50.5	1.0
101.0	50.5	1.0
111.1	50.5	1.0
121.2	50.5	1.0
131.3	50.5	1.0
141.4	50.5	1.0
151.5	50.5	1.0
161.6	50.5	1.0
171.7	50.5	11.0
181.8	50.5	1.0
191.9	50.5	1.0
0.0	60.6	1.0
10.1	60.6	1.0
20.2	60.6	11.0
30.3	60.6	1.0
40.4	60.6	1.0
50.5	60.6	1.0
60.6	60.6	1.0
70.7	60.6	1.0
80.8	60.6	1.0
90.9	60.6	23.0
101.0	60.6	23.0
111.1	60.6	1.0
121.2	60.6	1.0
131.3	60.6	1.0
141.4	60.6	1.0
151.5	60.6	1.0
161.6	60.6	1.0
171.7	60.6	11.0
181.8	60.6	23.0
191.9	60.6	1.0
0.0	70.7	1.0
10.1	70.7	23.0
20.2	70.7	11.0
30.3	70.7	1.0
40.4	70.7	23.0
50.5	70.7	1.0
60.6	70.7	1.0
70.7	70.7	1.0
80.8	70.7	1.0
90.9	70.7	1.0
101.0	70.7	1.0
111.1	70.7	1.0
121.2	70.7	1.0
131.3	70.7	1.0
141.4	70.7	1.0
151.5	70.7	23.0
161.6	70.7	1.0
171.7	70.7	11.0
181.8	70.7	1.0
191.9	70.7	1.0
0.0	80.8	1.0
10.1	80.8	1.0
20.2	80.8	11.0
30.3	80.8	1.0
40.4	80.8	23.0
50.5	80.8	1.0
60.6	80.8	1.0
70.7	80.8	23.0
80.8	80.8	1.0
90.9	80.8	1.0
101.0	80.8	1.0
111.1	80.8	1.0
121.2	80.8	23.0
131.3	80.8	1.0
141.4	80.8	1.0
151.5	80.8	23.0
161.6	80.8	1.0
171.7	80.8	11.0
181.8	80.8	1.0
191.9	80.8	1.0
0.0	90.9	1.0
10.1	90.9	1.0
20.2	90.9	11.0
30.3	90.9	1.0
40.4	90.9	23.0
50.5	90.9	1.0
60.6	90.9	1.0
70.7	90.9	1.0
80.8	90.9	1.0
90.9	90.9	23.0
101.0	90.9	23.0
111.1	90.9	1.0
121.2	90.9	1.0
131.3	90.9	1.0
141.4	90.9	1.0
151.5	90.9	23.0
161.6	90.9	1.0
171.7	90.9	11.0
181.8	90.9	1.0
191.9	90.9	1.0
0.0	101.0	1.0
10.1	101.0	1.0
20.2	101.0	11.0
30.3	101.0	1.0
40.4	101.0	23.0
50.5	101.0	1.0
60.6	101.0	1.0
70.7	101.0	23.0
80.8	101.0	1.0
90.9	101.0	1.0
101.0	101.0	1.0
111.1	101.0	1.0
121.2	101.0	23.0
131.3	101.0	1.0
141.4	101.0	1.0
151.5	101.0	23.0
161.6	101.0	1.0
171.7	101.0	11.0
181.8	101.0	23.0
191.9	101.0	1.0
0.0	111.1	1.0
